"電廠","日期","用煤量(萬噸)","SO2(ppm)","NOX(ppm)","OP(%)","西屯AQI","沙鹿AQI","線西AQI"
"台中電廠      ","2023/08/21","4.1827","11.97","40.07","14.43","25        ","15        ","-         "
"台中電廠      ","2023/08/22","4.1272","20.52","32.15","14.45","21        ","15        ","22        "
"台中電廠      ","2023/08/23","4.0781","15.32","33.77","13.46","15        ","15        ","17        "
"台中電廠      ","2023/08/24","3.9503","15.81","31.92","13.97","29        ","20        ","24        "
"台中電廠      ","2023/08/25","4.1554","16.25","33.05","13.52","25        ","20        ","24        "
"台中電廠      ","2023/08/26","3.9616","16.11","34.32","13.59","54        ","-         ","19        "
"台中電廠      ","2023/08/27","3.5577","13.17","32.46","12.99","23        ","13        ","13        "
"台中電廠      ","2023/08/28","3.8188","12.56","33.91","13.08","38        ","26        ","22        "
"台中電廠      ","2023/08/29","4.5048","13.33","34.93","13.46","30        ","18        ","24        "
"台中電廠      ","2023/08/30","4.2928","15.76","34.66","13.9","65        ","56        ","55        "
"台中電廠      ","2023/08/31","4.4292","15.27","34.84","14.63","65        ","56        ","50        "
"台中電廠      ","2023/09/01","4.3212","11.47","33.91","13.38","31        ","24        ","29        "
"台中電廠      ","2023/09/02","4.4536","12.18","34.42","13.43","36        ","17        ","27        "
"台中電廠      ","2023/09/03","4.048","15.61","33.89","14.62","46        ","44        ","55        "
"台中電廠      ","2023/09/04","3.4329","12.76","34.22","13.24","25        ","3         ","13        "
"台中電廠      ","2023/09/05","3.553","12.7","30.46","13.49","30        ","7         ","23        "
"台中電廠      ","2023/09/06","4.6558","13.4","34.08","13.54","24        ","11        ","18        "
"台中電廠      ","2023/09/07","4.385","12.6","34.24","13.35","16        ","12        ","24        "
"台中電廠      ","2023/09/08","3.8986","13.37","32.09","13.27","15        ","5         ","20        "
"台中電廠      ","2023/09/09","3.5689","11.06","32.01","13.33","15        ","2         ","4         "
"台中電廠      ","2023/09/10","3.3636","12.8","31.59","13.05","16        ","8         ","11        "
"台中電廠      ","2023/09/11","3.016","12.34","31.93","13.16","29        ","31        ","27        "
"台中電廠      ","2023/09/12","3.2184","9.65","34.46","13.24","72        ","69        ","71        "
"台中電廠      ","2023/09/13","3.2015","13.35","32.54","13.44","62        ","54        ","68        "
"台中電廠      ","2023/09/14","3.4306","13.57","36.79","13.53","71        ","44        ","54        "
"台中電廠      ","2023/09/15","3.7896","15.01","34.81","13.56","75        ","73        ","80        "
"台中電廠      ","2023/09/16","3.5951","15.83","34","13.42","60        ","54        ","61        "
"台中電廠      ","2023/09/17","3.7969","14.06","34.85","13.3","78        ","76        ","69        "
"台中電廠      ","2023/09/18","4.2468","12.63","33.2","14.53","55        ","45        ","59        "
